Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Flow_Description,Year,Unit,Value,Flag,Source_Description,Note
CN,China,WL,World,MA,Manufactures,X,Exports,1985,million USD,9938,E,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1985,million USD,3680,,WTO,
CN,China,WL,World,MI,Fuels and mining products,M,Imports,1985,million USD,2420,E,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1985,million USD,2040,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1985,million USD,2450,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1985,million USD,7780,E,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1985,million USD,33149,E,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1985,million USD,13.829,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1986,million USD,42904,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1986,million USD,30942,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1986,million USD,5440,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1986,million USD,4426.949984,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1986,million USD,13505.73636,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1986,million USD,32793.26037,,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,1986,million USD,2049.67688,,WTO,
CN,China,WL,World,AGFO,Food,X,Exports,1986,million USD,5286.210325,,WTO,
CN,China,WL,World,MI,Fuels and mining products,M,Imports,1986,million USD,2288.239743,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1986,million USD,4050,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1986,million USD,4435.897502,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1986,million USD,7075.718584,,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1986,million USD,13.868,,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1986,million USD,3160,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,1986,million USD,293.463049,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,M,Imports,1986,million USD,1964.842881,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1987,million USD,39437,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1987,million USD,43216,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,M,Imports,1987,million USD,3232.084112,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1987,million USD,6485,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1987,million USD,35214.53517,,WTO,
CN,China,WL,World,AGFO,Food,X,Exports,1987,million USD,5760.985415,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1987,million USD,5778.198187,,WTO,
CN,China,WL,World,MI,Fuels and mining products,M,Imports,1987,million USD,1818.452203,,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1987,million USD,3589.377,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,1987,million USD,1126.881194,,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1987,million USD,17.422,,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,1987,million USD,3178.283593,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1987,million USD,8091.28841,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1987,million USD,5790,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1987,million USD,22929.71609,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1987,million USD,5998.717063,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1988,million USD,47516,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1988,million USD,55268,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1988,million USD,9030.556846,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,1988,million USD,1687.142467,,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1988,million USD,4218.913,,WTO,
CN,China,WL,World,AGFO,Food,X,Exports,1988,million USD,6943.229505,,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1988,million USD,27.697,,WTO,
